States,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,01-Apr,02-Apr,03-Apr,04-Apr,05-Apr,06-Apr,07-Apr,08-Apr,09-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,01-May,02-May,03-May,04-May,05-May,06-May,07-May,08-May,09-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,01-Jun,02-Jun,03-Jun,04-Jun,05-Jun,06-Jun,07-Jun,08-Jun,09-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
Andhra Pradesh,4,5,12,0,4,9,5,13,10,8,31,58,5,57,80,111,117,40,82,106,15,46,49,46,63,113,65,62,104,74,78,105,90,73,97,84,113,47,88,76,81,97,61,86,77,70,78,71,86,50,73,83,117,123,88,115,142,103,94,113,95,97,83,124,100,107,353,132,107,238,354,207,309,198,214,311,270,223,413,282,213,489,390,369,415,538,435,512,598,499,799,942,1037,1277,1245,1509,1220,1473,1590,1883,1939,1625
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,18,0,16,4,3,2,4,0,6,0,4,6,20,4,0,4,4,4,0,32,0,4,9,10,2,12,5,5,5
Assam,0,0,0,0,0,0,0,0,0,0,0,0,1,15,8,0,2,0,1,1,1,0,0,0,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,4,1,0,0,0,0,2,9,5,4,0,2,0,15,7,3,2,9,6,35,28,33,56,70,49,148,90,165,75,168,161,87,118,123,159,316,165,244,168,211,161,155,227,179,220,331,109,161,286,172,127,0,484,198,245,367,123,286,209,390,546
Bihar,0,2,0,0,1,0,3,3,0,2,4,8,0,1,5,1,0,2,6,0,1,21,3,1,1,1,4,10,3,3,7,20,13,17,10,70,20,31,71,21,26,26,53,10,22,25,8,6,8,21,20,105,51,84,109,54,24,161,83,129,107,176,308,195,203,207,143,253,78,235,80,260,179,111,229,235,103,103,319,173,114,257,251,273,120,187,180,180,128,164,83,156,352,79,213,328,56,264,243,215,281,428
Chattisgarh,0,0,0,0,0,2,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,8,0,13,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,14,1,1,0,0,0,0,0,0,0,0,1,6,1,19,7,8,14,13,44,42,38,39,70,8,30,16,32,51,49,17,104,88,123,44,150,87,80,22,136,31,83,150,94,25,83,82,82,13,234,28,59,57,33,93,0,117,99
Delhi,9,3,0,2,-1,5,1,3,0,14,44,23,32,67,167,59,58,20,53,93,51,183,166,85,356,51,17,62,67,186,110,78,75,92,128,138,111,293,190,206,125,76,223,384,427,349,206,428,448,338,224,381,310,406,359,472,425,438,721,0,500,534,571,660,591,508,635,412,792,1024,1105,1163,1295,990,1298,1513,1359,1330,1320,0,2289,1366,1501,1877,2137,2134,2224,1647,1859,2414,2877,3137,3630,3000,2909,3947,3788,3390,3460,2948,2889,2084
Goa,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,12,9,8,4,2,2,1,11,1,0,1,1,0,1,0,1,8,0,87,30,71,33,30,29,28,30,46,60,41,28,37,27,49,20,29,0,110,45,42,44,44,89,70,0
Gujrat,5,11,11,0,4,5,5,2,8,5,15,1,8,5,8,10,17,22,21,14,62,67,124,84,23,111,116,164,169,277,367,196,239,229,217,191,256,230,247,196,338,313,326,333,374,376,441,380,387,390,394,398,347,362,364,324,340,1057,391,366,395,397,368,363,396,392,404,361,374,367,372,409,436,421,417,483,484,510,498,478,475,469,507,511,495,511,506,511,522,516,508,540,539,580,565,546,572,577,575,614,611,618
Haryana,0,4,5,0,2,2,0,3,0,0,7,3,0,0,6,0,35,6,57,0,22,8,0,8,0,14,6,0,20,0,8,21,0,8,10,0,17,0,7,14,0,3,47,0,82,75,31,46,31,22,28,28,27,50,13,25,0,69,23,18,36,29,38,36,64,53,0,121,76,123,217,202,168,265,296,302,327,316,355,496,406,355,370,389,366,415,459,514,550,560,386,525,480,412,390,495,490,453,421,543,402,381
Himachal Pradesh,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,7,0,5,0,0,10,4,0,0,1,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,5,4,6,1,8,2,2,2,10,2,18,42,16,17,18,20,24,26,3,19,18,18,9,5,14,24,10,7,13,8,24,6,19,16,16,16,38,4,9,26,24,37,17,54,48,31,33,25,30,22,26
