States,01-Jul,02-Jul,03-Jul,04-Jul,05-Jul,06-Jul,07-Jul,08-Jul,09-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,01-Aug,02-Aug,03-Aug,04-Aug,05-Aug,06-Aug,07-Aug,08-Aug,09-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,01-Sep,02-Sep,03-Sep,04-Sep,05-Sep,06-Sep,07-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,01-Oct,02-Oct,03-Oct,04-Oct,05-Oct,06-Oct,07-Oct,08-Oct,09-Oct,10-Oct
Andhra Pradesh,1649,1675,2058,2729,2615,2588,3153,3057,2986,2965,2886,2991,3202,3485,3440,4029,4269,4080,5247,6337,5272,6375,7599,9565,9787,7813,9220,9134,7948,11857,11978,12362,11359,10446,10091,11759,12220,12535,12427,12062,12076,9561,10921,11528,11917,10806,9834,8906,8462,11415,11466,11360,12018,12660,9737,11180,12945,13625,13553,13277,13472,12476,12738,13260,13209,12677,13287,13399,12596,10760,13080,12952,12601,12277,12117,10953,10014,11119,20,12,28,14,8,23,19,22,33,16,16,21,10,19,15,14,11,11,17,16,14,24,18,25
Arunachal Pradesh,4,4,0,57,7,10,1,6,11,15,33,6,18,28,75,0,81,66,41,90,50,68,91,42,65,70,32,81,91,80,74,107,82,25,60,32,65,93,101,68,38,76,96,103,82,95,51,43,40,134,75,116,60,97,40,49,100,143,78,112,132,157,78,100,148,214,201,139,86,180,222,143,127,153,150,146,177,168,226,159,154,245,135,210,249,289,283,255,198,135,328,221,243,224,200,201,127,235,224,260,212,281
Assam,475,355,431,660,995,720,772,362,814,696,568,936,535,735,1001,859,1088,892,2272,1081,1383,0,1390,2019,1130,1165,1142,1348,1371,1348,2112,1862,1457,1178,2371,2886,2284,2372,2679,2218,1123,2900,2669,4593,2796,2706,1057,1317,2792,2534,2116,1735,1856,1560,1272,1879,1973,2179,2036,2560,2427,1980,3266,2684,3555,3054,2891,2698,1537,2785,2579,2243,2739,2534,2132,1292,2403,2409,2394,1380,2509,2595,1227,2640,2073,2098,2091,1792,1736,875,3644,3592,3590,1585,1416,1632,756,1518,1184,1307,1188,1019
Bihar,403,206,222,483,746,176,249,445,619,755,631,798,1269,1317,1325,1328,1152,1825,1547,1433,1077,1306,1417,1611,1946,2678,2572,2068,2599,2237,2397,2756,3007,2784,2304,2460,2982,3018,3516,3990,4157,3099,3863,3908,3872,3815,3543,2293,2463,3191,2939,2504,2472,2116,2418,1251,1338,2178,2066,2277,1946,2032,1422,1892,3092,1526,1137,1728,1829,1366,1475,1690,1376,1877,1258,1582,2081,505,1592,1588,1167,1570,2236,627,1604,1599,1217,1454,1547,1630,1130,1453,1443,1310,1398,1005,1727,1274,1298,1245,1087,1257
Chattisgarh,99,80,73,52,96,46,98,110,110,150,92,130,162,158,162,160,193,232,269,174,154,168,239,286,477,356,363,295,512,282,222,325,299,146,248,423,205,525,476,335,405,300,481,569,439,544,506,484,554,808,652,1016,1009,568,840,1136,1287,1209,1438,1245,1513,1346,1411,1884,2296,2284,2667,2529,2100,2017,2834,2818,2748,2963,3120,2228,3336,3450,3189,3809,3842,2617,1949,1998,2736,2434,2272,2942,3896,2272,3725,2197,2947,2551,2637,2610,1924,2681,2888,2846,2873,2958
Delhi,2199,2442,2373,2520,2505,2244,1379,2008,2033,2187,2089,1781,1573,1246,1606,1647,1652,1462,1475,1211,954,1349,1227,1041,1025,1142,1075,613,1056,1035,1093,1195,1118,961,805,674,1076,1299,1192,1404,1300,707,1257,1113,956,1192,1276,652,787,1374,1398,1215,1250,1412,1450,1061,1544,1693,1840,1808,1954,2024,1358,2312,2509,2737,2914,2973,3256,2077,3609,4039,4308,4266,4321,4235,3229,4263,4473,4432,4127,4071,3812,2548,3816,3714,3834,3827,3372,3292,1984,3227,3390,3037,2920,2258,2683,1947,2676,2871,2726,2860
Goa,117,72,95,0,202,77,52,90,136,112,100,117,85,130,170,198,157,196,180,173,196,174,149,174,190,146,175,258,168,202,215,209,280,337,286,259,348,191,333,259,506,317,415,480,570,476,369,300,355,339,342,424,385,306,209,139,392,497,456,523,547,451,414,588,636,713,508,592,374,344,457,621,639,555,740,407,306,613,628,644,596,643,407,324,590,536,673,519,503,384,438,381,641,524,513,445,428,391,519,432,432,489
Gujrat,619,675,681,687,712,725,735,778,783,861,875,872,879,902,915,915,929,949,960,965,998,1026,1020,1078,1068,1081,1196,1052,1108,1144,1159,1153,1025,1099,1023,1014,1070,1030,1069,1101,1096,1066,1132,1155,1090,1072,1079,1121,1030,1092,1140,1165,1204,1212,1101,1067,1114,1189,1185,1273,1282,1275,1291,1329,1259,1325,1320,1311,1335,1330,1295,1329,1332,1344,1365,1326,1334,1349,1364,1379,1410,1432,1407,1430,1402,1372,1408,1442,1417,1411,1404,1381,1390,1351,1310,1343,1302,1327,1335,1473,1116,1243
Haryana,338,393,568,494,545,457,499,495,691,679,565,648,658,654,734,678,696,795,750,617,694,604,724,789,780,783,794,795,749,755,623,711,793,761,654,623,752,755,751,789,792,794,798,797,793,797,796,743,887,896,994,996,1203,1161,1096,1074,1148,1397,1293,1298,1391,1295,1450,1694,1792,1881,1884,2289,2277,2224,2286,2294,2591,2388,2783,2526,2488,2493,2694,2457,2488,2691,2305,1818,1795,1986,1698,2024,1689,1515,1630,1562,1625,1313,1476,1188,1302,1031,1206,1283,1284,1250
Himachal Pradesh,11,26,35,19,13,17,14,6,18,39,31,11,31,30,66,32,36,40,40,26,148,33,61,109,120,95,127,94,60,73,103,58,70,69,115,61,37,131,103,114,107,92,34,139,180,58,119,163,18,61,176,127,190,167,106,100,53,167,180,136,144,164,171,139,161,199,215,188,397,245,171,316,319,318,445,326,368,412,460,395,432,286,221,309,331,280,337,293,317,195,266,290,229,243,235,241,156,182,250,282,213,199
